city_name,city_country,name,category,cost,duration_minutes,description,image_url
Cusco,Peru,Hotel Night in Plaza de Armas,stay,45,1440,Colonial hotel on Cusco's main square,
Cusco,Peru,Ceviche Lunch,food,10,60,Fresh Peruvian ceviche in the Andes,
Cape Town,South Africa,Table Mountain Cable Car,activity,18,120,Cable car ride and hike atop Cape Town's flat-topped icon,
Cape Town,South Africa,Cape Peninsula Day Tour,activity,50,480,Full-day tour including Cape of Good Hope and penguins,
Cape Town,South Africa,Hotel Night in V&A Waterfront,stay,100,1440,Harbour-front hotel with Table Mountain views,
Cape Town,South Africa,Braai BBQ Dinner,food,25,120,Traditional South African barbecue experience,
Reykjavik,Iceland,Golden Circle Day Tour,activity,80,600,Geysir and Gullfoss and Thingvellir in one day,
Reykjavik,Iceland,Blue Lagoon,activity,65,180,Soak in the famous milky-blue geothermal spa,
Reykjavik,Iceland,Hotel Night in City Center,stay,200,1440,Hotel near Hallgrímskirkja church,
Reykjavik,Iceland,Icelandic Lamb Soup,food,18,45,Hearty traditional Icelandic lamb and vegetable stew,
Chiang Mai,Thailand,Doi Suthep Temple,activity,2,120,Hilltop temple with panoramic views of Chiang Mai,
Chiang Mai,Thailand,Thai Cooking Class,food,25,180,Hands-on cooking class learning northern Thai dishes,
Chiang Mai,Thailand,Guesthouse Night in Old City,stay,20,1440,Charming guesthouse within the ancient city walls,
Chiang Mai,Thailand,Night Bazaar Shopping,activity,0,120,Browse handicrafts and street food at the famous night market,
Mumbai,India,Gateway of India & Taj Hotel,activity,0,60,Visit Mumbai's iconic waterfront arch and heritage hotel,
Mumbai,India,Dharavi Walking Tour,activity,15,150,Guided tour through Asia's most dynamic informal settlement,
Mumbai,India,Hotel Night in Colaba,stay,60,1440,Heritage hotel in Mumbai's colonial district,
Mumbai,India,Street Food at Chowpatty Beach,food,5,60,Sample pav bhaji and bhel puri on Mumbai's famous beach,
Jaipur,India,Amber Fort,activity,8,120,Magnificent hilltop fort-palace complex,
Jaipur,India,Hawa Mahal Visit,activity,3,45,The iconic Palace of Winds with 953 windows,
Jaipur,India,Hotel Night in Pink City,stay,35,1440,Heritage haveli hotel in Jaipur's old walled city,
Jaipur,India,Thali Dinner at LMB,food,8,60,Classic Rajasthani vegetarian thali at the legendary restaurant,
San Francisco,United States,Golden Gate Bridge Walk,activity,0,90,Walk across the iconic suspension bridge with bay views,
San Francisco,United States,Alcatraz Island Tour,activity,45,180,Ferry ride and audio tour of the infamous island prison,
San Francisco,United States,Hotel Night in Union Square,stay,200,1440,Central hotel near shopping and cable car lines,
San Francisco,United States,Clam Chowder at Fisherman's Wharf,food,12,30,Sourdough bread bowl chowder at Pier 39,
Mexico City,Mexico,Teotihuacan Pyramids,activity,5,300,Climb the ancient Pyramid of the Sun and Moon,
Mexico City,Mexico,Frida Kahlo Museum,activity,13,120,Visit the Blue House where Frida lived and worked,
Mexico City,Mexico,Hotel Night in Roma Norte,stay,50,1440,Hip hotel in Mexico City's trendiest neighborhood,
Mexico City,Mexico,Tacos al Pastor,food,3,30,Authentic street tacos at a local taqueria,
Hanoi,Vietnam,Ha Long Bay Day Cruise,activity,45,600,Scenic cruise through limestone karsts and emerald waters,
Hanoi,Vietnam,Old Quarter Walking Tour,activity,10,150,Guided walk through the 36 ancient trading streets,
Hanoi,Vietnam,Hotel Night in Old Quarter,stay,30,1440,Boutique hotel in the heart of historic Hanoi,
Hanoi,Vietnam,Pho Bo at Pho Gia Truyen,food,2,30,Vietnam's most famous beef pho at a legendary stall,
Copenhagen,Denmark,Tivoli Gardens,activity,22,180,One of the world's oldest amusement parks,
Copenhagen,Denmark,Nyhavn Canal Walk,activity,0,45,Stroll along Copenhagen's colorful 17th-century waterfront,
Copenhagen,Denmark,Hotel Night in Indre By,stay,180,1440,Hotel in Copenhagen's charming inner city,
Copenhagen,Denmark,Smørrebrød Lunch,food,20,60,Traditional Danish open-faced sandwiches,
Dubrovnik,Croatia,City Walls Walk,activity,25,90,Walk the medieval ramparts circling the Old Town,
Dubrovnik,Croatia,Game of Thrones Tour,activity,30,150,Visit filming locations from the famous TV series,
Dubrovnik,Croatia,Hotel Night in Old Town,stay,120,1440,Stone-walled hotel inside Dubrovnik's medieval walls,
Dubrovnik,Croatia,Seafood at Nautika,food,45,90,Fine dining with views of the Adriatic Sea,
Vienna,Austria,Schönbrunn Palace,activity,22,150,Tour the grand summer residence of the Habsburg emperors,
Vienna,Austria,Vienna State Opera,activity,15,180,Standing-room ticket to a world-class opera performance,
Vienna,Austria,Hotel Night in Innere Stadt,stay,140,1440,Elegant hotel in Vienna's historic first district,
Vienna,Austria,Sachertorte at Hotel Sacher,food,8,30,The original recipe chocolate cake since 1832,
Santorini,Greece,Oia Sunset Viewing,activity,0,60,Watch the famous sunset from the most photogenic village,
Santorini,Greece,Catamaran Sailing Tour,activity,90,300,Sail around the caldera with stops for swimming and BBQ,
Santorini,Greece,Hotel Night in Fira,stay,150,1440,Cliff-edge hotel with caldera and sea views,
Santorini,Greece,Fresh Seafood at Ammoudi Bay,food,35,90,Dine on fresh fish at the tiny port below Oia,
Athens,Greece,Acropolis & Parthenon,activity,20,120,Explore the crown jewel of ancient Greek civilization,
Athens,Greece,Plaka Neighborhood Walk,activity,0,90,Wander the charming streets below the Acropolis,
Athens,Greece,Hotel Night in Monastiraki,stay,80,1440,Rooftop hotel with Acropolis views in the flea-market quarter,
Athens,Greece,Souvlaki at Kostas,food,4,20,Legendary hole-in-the-wall souvlaki since 1950,
Taipei,Taiwan,Taipei 101 Observatory,activity,15,60,Visit the observation deck of the iconic skyscraper,
Taipei,Taiwan,Night Market Food Tour,food,20,120,Sample stinky tofu and bubble tea at Shilin Night Market,
Taipei,Taiwan,Hotel Night in Da'an,stay,70,1440,Modern hotel in Taipei's upscale residential district,
Taipei,Taiwan,Jiufen Old Street Day Trip,activity,10,240,Explore the hillside village that inspired Spirited Away,
Hong Kong,China,Victoria Peak Tram,activity,10,90,Ride the historic tram for panoramic harbor views,
Hong Kong,China,Dim Sum at Tim Ho Wan,food,12,60,Michelin-starred dim sum at the world's cheapest Michelin restaurant,
Hong Kong,China,Hotel Night in Tsim Sha Tsui,stay,150,1440,Harbour-view hotel on the Kowloon waterfront,
Hong Kong,China,Star Ferry Crossing,transport,1,15,Iconic ferry ride across Victoria Harbour,
Colombo,Sri Lanka,Galle Face Green Walk,activity,0,45,Stroll along Colombo's oceanfront promenade at sunset,
Colombo,Sri Lanka,Temple of the Tooth Day Trip,activity,15,480,Visit the sacred Buddhist temple in Kandy,
Colombo,Sri Lanka,Hotel Night in Colombo Fort,stay,35,1440,Colonial-era hotel in Colombo's business district,
Colombo,Sri Lanka,Rice and Curry Lunch,food,3,45,Traditional multi-dish Sri Lankan meal on a banana leaf,
Cancun,Mexico,Chichen Itza Day Trip,activity,40,600,Visit one of the New Seven Wonders of the World,
Cancun,Mexico,Snorkeling in Cenote,activity,25,120,Swim in a crystal-clear natural limestone sinkhole,
Cancun,Mexico,Resort Night in Hotel Zone,stay,120,1440,All-inclusive beachfront resort on the Caribbean,
Cancun,Mexico,Tacos and Margaritas,food,15,60,Beachside Mexican feast with fresh margaritas,
Havana,Cuba,Malecon Sunset Walk,activity,0,60,Stroll along Havana's famous seaside promenade,
Havana,Cuba,Classic Car City Tour,activity,30,120,Ride through Havana in a restored 1950s American convertible,
Havana,Cuba,Casa Particular Stay,stay,30,1440,Stay in a traditional Cuban family-run guesthouse,
Havana,Cuba,Mojito at La Bodeguita del Medio,food,5,30,Sip a mojito at Hemingway's favorite bar,
Los Angeles,United States,Hollywood Sign Hike,activity,0,120,Hike to the iconic Hollywood Sign for city views,
Los Angeles,United States,Getty Center Visit,activity,0,180,World-class art museum with stunning architecture and gardens,
Los Angeles,United States,Hotel Night in Santa Monica,stay,200,1440,Beachfront hotel steps from the Santa Monica Pier,
Los Angeles,United States,In-N-Out Burger,food,8,30,California's legendary fast-food burger chain,
Auckland,New Zealand,Sky Tower Visit,activity,22,60,360-degree views from New Zealand's tallest structure,
Auckland,New Zealand,Waiheke Island Wine Tour,activity,75,360,Ferry ride and guided wine tasting on the island of wine,
Auckland,New Zealand,Hotel Night in Viaduct Harbour,stay,140,1440,Waterfront hotel in Auckland's dining and nightlife hub,
Auckland,New Zealand,Fish and Chips at Auckland Fish Market,food,15,40,Fresh catch of the day at the harbor-side market,
Kuala Lumpur,Malaysia,Petronas Twin Towers,activity,20,90,Visit the sky bridge and observation deck of the iconic towers,
Kuala Lumpur,Malaysia,Batu Caves Visit,activity,0,120,Climb 272 steps to the colorful Hindu temple caves,
Kuala Lumpur,Malaysia,Hotel Night in Bukit Bintang,stay,50,1440,Shopping-district hotel near Jalan Alor food street,
Kuala Lumpur,Malaysia,Nasi Lemak at Village Park,food,3,30,Malaysia's national dish — coconut rice with sambal,
Nairobi,Kenya,Maasai Mara Safari Day Trip,activity,150,720,Full-day safari in Kenya's premier wildlife reserve,
Nairobi,Kenya,Giraffe Centre Visit,activity,10,60,Feed endangered Rothschild's giraffes from a raised platform,
Nairobi,Kenya,Hotel Night in Karen,stay,80,1440,Suburban lodge near the Karen Blixen Museum,
Nairobi,Kenya,Nyama Choma Dinner,food,12,60,Traditional Kenyan grilled meat feast,
Ho Chi Minh City,Vietnam,Cu Chi Tunnels Tour,activity,15,240,Explore the underground Viet Cong tunnel network,
Ho Chi Minh City,Vietnam,Mekong Delta Day Trip,activity,20,480,Boat cruise through floating markets and coconut groves,
Ho Chi Minh City,Vietnam,Hotel Night in District 1,stay,30,1440,Central hotel near Ben Thanh Market,
Ho Chi Minh City,Vietnam,Banh Mi at Banh Mi Huynh Hoa,food,2,15,Vietnam's best baguette sandwich at the legendary stall,
